,Source,userid,Join
0,102701,494e7a60b52f5bc25067705903ec1907,2017-09-18 09:41:43
1,104474,400b7a5ab563062cd6996ff11cc29669,2017-09-18 09:36:45
2,105614,9be4704b2581d92cd58d557f2b7d88a5,2017-09-18 09:36:26
3,105755,fe310deaa802a4a576d90495bef7875c,2017-09-18 09:27:51
4,104474,42f6cc2a3c3a3802de6bec7882aa4617,2017-09-18 09:27:04
5,105952,dddb0b8d5c1460afcc409461b7a236db,2017-09-18 09:27:03
6,104474,a7a7f9a3846f967dded0978220f35883,2017-09-18 09:23:43
7,105614,ccbd6a1d8e48e9f91cf3073787b6e190,2017-09-18 09:18:50
8,105656,70916d838fbe28f948f55d018f967723,2017-09-18 09:06:49
9,104474,c6400cca0a360d8ff5f4809c34af8adc,2017-09-18 09:06:16
10,102044,a89cd87ca127f72997d549893e88fb16,2017-09-18 09:04:19
11,104474,f2c4980daaad925e95f1ad71a4621c08,2017-09-18 09:03:40
12,104474,a573ad7fae50b3015b5b3cb462cdbe50,2017-09-18 09:02:57
13,102044,934fe7cbfa5abf5dc912facdf1d0a827,2017-09-18 08:58:04
14,104474,a25de9185584ae26b10eb73bca08e222,2017-09-18 08:56:12
15,102044,9006890e6f8ae2ae43184dc5adf420e5,2017-09-18 08:50:01
16,102044,dbe3f2557324d2760903b4fd2907e346,2017-09-18 08:48:32
17,102044,74975c264b0fc93616b42f917ef2c096,2017-09-18 08:46:57
18,105774,33f76647806a807dccd35e509505d61e,2017-09-18 08:46:37
19,104474,b15d7afe33af9e408141b689605fc54d,2017-09-18 08:46:18
20,102044,4c7089ca2837c97be34dbf631aa7c4e2,2017-09-18 08:45:21
21,105614,f5397f95b22ed4541eae6182410799ac,2017-09-18 08:45:08
22,106090,9d2cf9be82431d2501ccb35f460ee9a6,2017-09-18 08:43:19
23,102701,b58af0d4910a98c7a9fa2552b8d10344,2017-09-18 08:41:49
24,105656,aac4496450347235a1aaa26c193178e9,2017-09-18 08:40:40
25,104474,4ada646cee78c26f62db0f9aeac53a72,2017-09-18 08:36:12
26,102044,e9f4bfc1379c69cebb808e45379cf614,2017-09-18 08:35:03
27,104474,83730e011206e6cdec789cb666668753,2017-09-18 08:33:29
28,102044,64326f85d0885ec5ab0cb0f6c2c67cc3,2017-09-18 08:30:27
29,102044,2596c367a4f298682ace613e3473bc73,2017-09-18 08:27:21
30,104474,4490daf17eba97c93b7b391bf92a258c,2017-09-18 08:26:03
31,102044,6e49f22c9d369fa6f9d5b1fbbafd61c0,2017-09-18 08:25:37
32,102044,5e708db7a41f4d608159ee3c86451d81,2017-09-18 08:24:07
33,105614,baa0d93d147ad9b476b48cc523d9e2cf,2017-09-18 08:19:02
34,102044,2ac8bba8a84cc271c19088bd93d9b5f4,2017-09-18 08:18:52
35,104474,f1a308e6b79facd827872d071575d738,2017-09-18 08:16:09
